cs/0110003,301
cs/0111065,302
cs/0111064,303
cs/0111060,304
cs/0111054,305
cs/0312044,306
quant-ph/9703022,307
cs/0111038,308
1303.5427,309
cs/0111003,310
cs/0112018,311
cs/0112015,312
cs/0112013,313
cs/0112011,314
cs/0112007,315
cs/0112005,316
cs/0112004,317
cs/0112003,318
